amount,transaction_type,location,receiver,device,country_code,hour,is_new_device,is_new_recipient,label
486.59,FATURA,"Manisa, TR",Sigorta Fatura,iPhone 13 bilinen cihaz,TR,20,0,0,TEMIZ
59858.89,TRANSFER,"Berlin, DE",Offshore Services,Unknown Android,,2,1,1,HESAP_ELE_GECIRME
1307.2,FATURA,"Bursa, TR",Telekom Fatura,Android bilinen cihaz,TR,20,0,0,TEMIZ
4071.25,FATURA,"İzmir, TR",Sigorta Fatura,Paycell kayıtlı cihaz,TR,12,0,0,TEMIZ
210077.91,TRANSFER,"Bursa, TR",Kripto Exchange,Unknown Android,,3,0,1,PARA_AKLAMA
3811.91,FATURA,"İzmir, TR",Elektrik Fatura,Android bilinen cihaz,TR,16,0,0,TEMIZ
24076.72,FATURA,"Berlin, DE",Offshore Services,iPhone 13 bilinen cihaz,,2,1,0,CALINTI_KART
49677.68,ODEME,"Amsterdam, NL",Global Trade,Android bilinen cihaz,TR,15,1,1,CALINTI_KART
2038.01,FATURA,"Ankara, TR",Elektrik Fatura,Web güvenilir tarayıcı,TR,10,0,0,TEMIZ
27403.37,CEKIM,"London, UK",Yeni Alıcı,Yeni web oturumu,TR,12,1,1,SUPHELI_DAVRANIS
2815.85,FATURA,"Ankara, TR",Okul Ödemesi,iPhone 13 bilinen cihaz,TR,17,0,0,TEMIZ
676.07,ODEME,"Ankara, TR",Sigorta Fatura,Web güvenilir tarayıcı,TR,14,0,0,TEMIZ
3018.58,FATURA,"İzmir, TR",Elektrik Fatura,iPhone 13 bilinen cihaz,TR,15,0,0,TEMIZ
3309.95,ODEME,"İzmir, TR",Elektrik Fatura,Web güvenilir tarayıcı,TR,13,0,0,TEMIZ
2633.2,ODEME,"İstanbul, TR",Elektrik Fatura,Web güvenilir tarayıcı,TR,21,0,0,TEMIZ
3742.66,FATURA,"Bursa, TR",Okul Ödemesi,Android bilinen cihaz,TR,9,0,0,TEMIZ
88055.07,FATURA,"Berlin, DE",Aile Transferi,iPhone 13 bilinen cihaz,TR,3,0,0,CALINTI_KART
35997.8,CEKIM,"Amsterdam, NL",Global Trade,Yeni web oturumu,,3,0,0,CALINTI_KART
2250.55,ODEME,"İzmir, TR",Sigorta Fatura,Web güvenilir tarayıcı,TR,19,0,0,TEMIZ
1957.66,FATURA,"Eskişehir, TR",Market Harcama,Web güvenilir tarayıcı,TR,13,0,0,TEMIZ
1403.5,FATURA,"Manisa, TR",Okul Ödemesi,Android bilinen cihaz,TR,13,0,0,TEMIZ
44135.93,TRANSFER,"İzmir, TR",Ulaşım,Bilinmeyen iPhone,TR,8,1,1,HESAP_ELE_GECIRME
20169.13,CEKIM,"Dubai, AE",E-Ticaret,iPhone 13 bilinen cihaz,TR,20,0,1,SUPHELI_DAVRANIS
34049.48,ODEME,"Dubai, AE",Aile Transferi,Bilinmeyen iPhone,,23,1,1,CALINTI_KART
1438.73,ODEME,"İstanbul, TR",Elektrik Fatura,iPhone 13 bilinen cihaz,TR,15,0,0,TEMIZ
65746.34,ODEME,"Paris, FR",Offshore Services,Yeni web oturumu,,11,1,0,CALINTI_KART
4047.6,ODEME,"Ankara, TR",Market Harcama,Web güvenilir tarayıcı,TR,16,0,0,TEMIZ
4014.8,FATURA,"Manisa, TR",Telekom Fatura,Web güvenilir tarayıcı,TR,9,0,0,TEMIZ
118327.41,CEKIM,"London, UK",Aile Transferi,Yeni web oturumu,,10,1,1,CALINTI_KART
42295.21,FATURA,"London, UK",New Recipient Ltd,Yeni web oturumu,,5,1,1,CALINTI_KART
221537.09,TRANSFER,"Eskişehir, TR",Kripto Exchange,Unknown Android,TR,8,0,1,PARA_AKLAMA
103428.02,TRANSFER,"Tbilisi, GE",Kripto Exchange,Web güvenilir tarayıcı,,5,0,1,PARA_AKLAMA
175630.03,TRANSFER,"Ankara, TR",New Recipient Ltd,Unknown Android,TR,17,1,0,PARA_AKLAMA
7346.91,FATURA,"Ankara, TR",Ulaşım,Web güvenilir tarayıcı,TR,20,0,0,TEMIZ
7560.36,TRANSFER,"İzmir, TR",Sigorta Fatura,Paycell kayıtlı cihaz,TR,20,0,0,TEMIZ
15709.47,ODEME,"London, UK",Offshore Services,Yeni web oturumu,,5,1,0,CALINTI_KART
1815.27,ODEME,"Eskişehir, TR",Sigorta Fatura,iPhone 13 bilinen cihaz,TR,15,0,0,TEMIZ
62567.43,TRANSFER,"Berlin, DE",Global Trade,Paycell kayıtlı cihaz,,21,0,1,PARA_AKLAMA
3254.84,FATURA,"İstanbul, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,12,0,0,TEMIZ
437.07,ODEME,"Eskişehir, TR",Okul Ödemesi,Android bilinen cihaz,TR,13,0,0,TEMIZ
2416.68,TRANSFER,"Manisa, TR",E-Ticaret,Web güvenilir tarayıcı,TR,21,0,0,TEMIZ
1668.2,ODEME,"İzmir, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,16,0,0,TEMIZ
13591.56,CEKIM,"Eskişehir, TR",Kira Ödemesi,Yeni web oturumu,TR,12,0,0,SUPHELI_DAVRANIS
609.48,FATURA,"Bursa, TR",Market Harcama,Web güvenilir tarayıcı,TR,13,0,0,TEMIZ
923.79,FATURA,"Bursa, TR",Sigorta Fatura,iPhone 13 bilinen cihaz,TR,10,0,0,TEMIZ
195558.17,TRANSFER,"Eskişehir, TR",Yeni Alıcı,Android bilinen cihaz,TR,10,0,1,PARA_AKLAMA
102292.72,ODEME,"Dubai, AE",Yeni Alıcı,Yeni web oturumu,,2,1,0,CALINTI_KART
73166.49,ODEME,"Paris, FR",New Recipient Ltd,Yeni cihaz,,5,1,0,CALINTI_KART
120542.83,TRANSFER,"İstanbul, TR",Global Trade,Yeni cihaz,TR,14,1,1,PARA_AKLAMA
40754.72,TRANSFER,"Manisa, TR",Global Trade,Unknown Android,,18,1,1,HESAP_ELE_GECIRME
250254.24,TRANSFER,"Dubai, AE",Offshore Services,Web güvenilir tarayıcı,,1,1,1,PARA_AKLAMA
4420.79,ODEME,"Manisa, TR",Telekom Fatura,Paycell kayıtlı cihaz,TR,13,0,0,TEMIZ
54564.86,TRANSFER,"Amsterdam, NL",Ulaşım,Bilinmeyen iPhone,,2,0,0,HESAP_ELE_GECIRME
1319.27,FATURA,"Ankara, TR",Market Harcama,Paycell kayıtlı cihaz,TR,19,0,0,TEMIZ
937.23,FATURA,"İzmir, TR",Sigorta Fatura,Web güvenilir tarayıcı,TR,17,0,0,TEMIZ
71161.97,TRANSFER,"Tbilisi, GE",Restoran,Unknown Android,,3,1,1,HESAP_ELE_GECIRME
648.79,FATURA,"İstanbul, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,11,0,0,TEMIZ
72543.82,ODEME,"Tbilisi, GE",Global Trade,Yeni cihaz,,5,1,0,HESAP_ELE_GECIRME
240476.69,TRANSFER,"Berlin, DE",Global Trade,Bilinmeyen iPhone,,5,0,0,PARA_AKLAMA
232267.21,TRANSFER,"Dubai, AE",New Recipient Ltd,Web güvenilir tarayıcı,TR,16,0,0,PARA_AKLAMA
11233.8,CEKIM,"Berlin, DE",Ulaşım,Paycell kayıtlı cihaz,,19,0,1,SUPHELI_DAVRANIS
20130.31,TRANSFER,"Paris, FR",Ulaşım,Unknown Android,TR,14,1,1,HESAP_ELE_GECIRME
5700.25,FATURA,"İstanbul, TR",E-Ticaret,Web güvenilir tarayıcı,TR,8,0,0,TEMIZ
35396.51,TRANSFER,"Eskişehir, TR",New Recipient Ltd,iPhone 13 bilinen cihaz,TR,11,1,1,SUPHELI_DAVRANIS
104031.43,TRANSFER,"Dubai, AE",Offshore Services,Yeni web oturumu,TR,1,0,1,PARA_AKLAMA
118744.27,ODEME,"Dubai, AE",Offshore Services,Android bilinen cihaz,,17,0,1,CALINTI_KART
3177.32,FATURA,"Eskişehir, TR",Elektrik Fatura,iPhone 13 bilinen cihaz,TR,16,0,0,TEMIZ
13884.11,CEKIM,"İzmir, TR",E-Ticaret,Unknown Android,,18,1,0,SUPHELI_DAVRANIS
55461.87,TRANSFER,"Ankara, TR",Yeni Alıcı,Paycell kayıtlı cihaz,TR,3,0,1,PARA_AKLAMA
2188.98,FATURA,"Manisa, TR",Okul Ödemesi,iPhone 13 bilinen cihaz,TR,2,0,0,TEMIZ
7604.56,ODEME,"Ankara, TR",Sigorta Fatura,Paycell kayıtlı cihaz,TR,1,0,0,TEMIZ
1911.92,ODEME,"Bursa, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,18,0,0,TEMIZ
40107.6,ODEME,"Dubai, AE",Okul Ödemesi,Unknown Android,TR,14,0,0,SUPHELI_DAVRANIS
14684.92,ODEME,"Ankara, TR",Ulaşım,Bilinmeyen iPhone,TR,16,1,1,SUPHELI_DAVRANIS
45377.53,TRANSFER,"Tbilisi, GE",Kripto Exchange,Yeni cihaz,,23,0,0,HESAP_ELE_GECIRME
335.45,FATURA,"Ankara, TR",Okul Ödemesi,iPhone 13 bilinen cihaz,TR,8,0,0,TEMIZ
21688.35,ODEME,"Paris, FR",Restoran,iPhone 13 bilinen cihaz,TR,11,0,0,SUPHELI_DAVRANIS
2704.7,FATURA,"İzmir, TR",Telekom Fatura,Web güvenilir tarayıcı,TR,18,0,0,TEMIZ
66140.74,FATURA,"Amsterdam, NL",Yeni Alıcı,Android bilinen cihaz,,3,1,1,CALINTI_KART
1736.86,FATURA,"İzmir, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,14,0,0,TEMIZ
2436.85,FATURA,"İstanbul, TR",Market Harcama,Android bilinen cihaz,TR,8,0,0,TEMIZ
27933.05,TRANSFER,"Paris, FR",Yeni Alıcı,Web güvenilir tarayıcı,TR,2,0,0,SUPHELI_DAVRANIS
39038.2,ODEME,"Paris, FR",Telekom Fatura,Paycell kayıtlı cihaz,TR,17,0,0,SUPHELI_DAVRANIS
3435.97,FATURA,"Manisa, TR",Sigorta Fatura,Android bilinen cihaz,TR,21,0,0,TEMIZ
109541.19,ODEME,"Ankara, TR",Restoran,iPhone 13 bilinen cihaz,,11,1,0,CALINTI_KART
52121.11,CEKIM,"Paris, FR",Kripto Exchange,Yeni web oturumu,TR,3,1,0,CALINTI_KART
3435.67,ODEME,"İstanbul, TR",Market Harcama,Web güvenilir tarayıcı,TR,17,0,0,TEMIZ
39699.31,CEKIM,"İzmir, TR",Aile Transferi,Yeni cihaz,TR,19,1,1,SUPHELI_DAVRANIS
18864.75,TRANSFER,"London, UK",Okul Ödemesi,Paycell kayıtlı cihaz,TR,18,1,0,SUPHELI_DAVRANIS
25056.22,CEKIM,"Dubai, AE",Telekom Fatura,Bilinmeyen iPhone,TR,13,1,0,SUPHELI_DAVRANIS
4128.96,FATURA,"Manisa, TR",Elektrik Fatura,iPhone 13 bilinen cihaz,TR,9,0,0,TEMIZ
247667.33,TRANSFER,"Ankara, TR",Yeni Alıcı,Android bilinen cihaz,TR,1,0,1,PARA_AKLAMA
77006.46,FATURA,"Ankara, TR",Aile Transferi,Bilinmeyen iPhone,TR,2,1,1,CALINTI_KART
3150.94,ODEME,"İstanbul, TR",Elektrik Fatura,iPhone 13 bilinen cihaz,TR,11,0,0,TEMIZ
78184.71,TRANSFER,"İzmir, TR",Offshore Services,Yeni cihaz,TR,17,1,1,PARA_AKLAMA
3732.3,FATURA,"Manisa, TR",Elektrik Fatura,iPhone 13 bilinen cihaz,TR,14,0,0,TEMIZ
285.55,FATURA,"Manisa, TR",Telekom Fatura,iPhone 13 bilinen cihaz,TR,14,0,0,TEMIZ
1514.12,FATURA,"Eskişehir, TR",Elektrik Fatura,Android bilinen cihaz,TR,21,0,0,TEMIZ
85382.37,FATURA,"Amsterdam, NL",Ulaşım,iPhone 13 bilinen cihaz,TR,8,0,0,CALINTI_KART
3217.26,ODEME,"Ankara, TR",Market Harcama,Android bilinen cihaz,TR,17,0,0,TEMIZ
1772.58,FATURA,"İzmir, TR",Okul Ödemesi,Android bilinen cihaz,TR,19,0,0,TEMIZ
2271.04,ODEME,"Ankara, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,9,0,0,TEMIZ
111633.37,TRANSFER,"Eskişehir, TR",Yeni Alıcı,Yeni web oturumu,TR,3,0,1,PARA_AKLAMA
1963.2,FATURA,"Eskişehir, TR",Okul Ödemesi,iPhone 13 bilinen cihaz,TR,12,0,0,TEMIZ
37124.15,CEKIM,"İstanbul, TR",Kira Ödemesi,Yeni cihaz,TR,18,1,1,SUPHELI_DAVRANIS
443.64,ODEME,"Bursa, TR",Market Harcama,Web güvenilir tarayıcı,TR,9,0,0,TEMIZ
13308.28,TRANSFER,"Paris, FR",Yeni Alıcı,Yeni web oturumu,TR,4,1,0,SUPHELI_DAVRANIS
1755.09,ODEME,"Bursa, TR",Okul Ödemesi,iPhone 13 bilinen cihaz,TR,16,0,0,TEMIZ
238671.7,TRANSFER,"Eskişehir, TR",New Recipient Ltd,Paycell kayıtlı cihaz,TR,2,0,1,PARA_AKLAMA
56401.08,FATURA,"Amsterdam, NL",Global Trade,Unknown Android,,4,1,1,CALINTI_KART
31028.54,ODEME,"Dubai, AE",Kira Ödemesi,Yeni web oturumu,TR,23,1,0,HESAP_ELE_GECIRME
1466.77,FATURA,"İstanbul, TR",Okul Ödemesi,Web güvenilir tarayıcı,TR,14,0,0,TEMIZ
1336.32,FATURA,"Manisa, TR",Okul Ödemesi,Android bilinen cihaz,TR,12,0,0,TEMIZ
1789.46,FATURA,"Eskişehir, TR",Telekom Fatura,Android bilinen cihaz,TR,16,0,0,TEMIZ
6190.86,TRANSFER,"İstanbul, TR",E-Ticaret,Web güvenilir tarayıcı,TR,9,0,0,TEMIZ
2264.39,FATURA,"İzmir, TR",Telekom Fatura,Web güvenilir tarayıcı,TR,19,0,0,TEMIZ
1718.26,ODEME,"Eskişehir, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,21,0,0,TEMIZ
2462.38,ODEME,"Manisa, TR",Sigorta Fatura,iPhone 13 bilinen cihaz,TR,11,0,0,TEMIZ
1620.11,FATURA,"Eskişehir, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,13,0,0,TEMIZ
1956.98,FATURA,"Ankara, TR",Market Harcama,Android bilinen cihaz,TR,16,0,0,TEMIZ
3105.42,FATURA,"Bursa, TR",Market Harcama,Paycell kayıtlı cihaz,TR,18,0,0,TEMIZ
2269.58,ODEME,"Ankara, TR",Okul Ödemesi,iPhone 13 bilinen cihaz,TR,9,0,0,TEMIZ
13678.38,TRANSFER,"Paris, FR",Aile Transferi,Bilinmeyen iPhone,,13,1,1,HESAP_ELE_GECIRME
1458.93,ODEME,"Ankara, TR",Elektrik Fatura,iPhone 13 bilinen cihaz,TR,18,0,0,TEMIZ
3607.22,FATURA,"İstanbul, TR",Sigorta Fatura,Android bilinen cihaz,TR,13,0,0,TEMIZ
70483.01,FATURA,"London, UK",E-Ticaret,Bilinmeyen iPhone,,11,1,0,CALINTI_KART
1853.25,ODEME,"Manisa, TR",Telekom Fatura,iPhone 13 bilinen cihaz,TR,16,0,0,TEMIZ
1206.41,ODEME,"Eskişehir, TR",Market Harcama,Paycell kayıtlı cihaz,TR,17,0,0,TEMIZ
60702.22,TRANSFER,"London, UK",New Recipient Ltd,Web güvenilir tarayıcı,,18,1,1,PARA_AKLAMA
852.29,FATURA,"İstanbul, TR",Sigorta Fatura,Paycell kayıtlı cihaz,TR,10,0,0,TEMIZ
1923.87,ODEME,"Manisa, TR",Sigorta Fatura,Android bilinen cihaz,TR,15,0,0,TEMIZ
99987.82,TRANSFER,"London, UK",New Recipient Ltd,Web güvenilir tarayıcı,,11,0,0,PARA_AKLAMA
2245.04,FATURA,"Bursa, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,9,0,0,TEMIZ
3588.61,FATURA,"İzmir, TR",Elektrik Fatura,Web güvenilir tarayıcı,TR,12,0,0,TEMIZ
2076.94,FATURA,"Bursa, TR",Sigorta Fatura,iPhone 13 bilinen cihaz,TR,12,0,0,TEMIZ
3710.96,ODEME,"Eskişehir, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,14,0,0,TEMIZ
3741.27,FATURA,"İzmir, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,21,0,0,TEMIZ
1995.45,FATURA,"İstanbul, TR",Telekom Fatura,Web güvenilir tarayıcı,TR,17,0,0,TEMIZ
776.11,FATURA,"İstanbul, TR",Telekom Fatura,iPhone 13 bilinen cihaz,TR,16,0,0,TEMIZ
16962.32,CEKIM,"İzmir, TR",Global Trade,Yeni cihaz,TR,23,0,0,SUPHELI_DAVRANIS
77996.64,TRANSFER,"Bursa, TR",Global Trade,Yeni web oturumu,,23,1,1,HESAP_ELE_GECIRME
43735.88,CEKIM,"Manisa, TR",Kripto Exchange,Yeni web oturumu,,0,1,0,CALINTI_KART
4399.67,ODEME,"Manisa, TR",Aile Transferi,Paycell kayıtlı cihaz,TR,13,0,0,TEMIZ
450.88,ODEME,"Manisa, TR",Market Harcama,iPhone 13 bilinen cihaz,TR,14,0,0,TEMIZ
32005.87,FATURA,"Bursa, TR",Ulaşım,Yeni web oturumu,TR,4,0,0,CALINTI_KART
3438.46,FATURA,"Ankara, TR",Okul Ödemesi,iPhone 13 bilinen cihaz,TR,21,0,0,TEMIZ
17534.48,ODEME,"London, UK",Yeni Alıcı,Unknown Android,,23,0,1,HESAP_ELE_GECIRME
1152.99,ODEME,"Manisa, TR",Telekom Fatura,iPhone 13 bilinen cihaz,TR,12,0,0,TEMIZ
89173.69,CEKIM,"Amsterdam, NL",Kira Ödemesi,Bilinmeyen iPhone,TR,16,1,1,CALINTI_KART
191509.35,TRANSFER,"Bursa, TR",Kripto Exchange,Android bilinen cihaz,TR,9,1,1,PARA_AKLAMA
30531.49,ODEME,"İstanbul, TR",Offshore Services,Yeni cihaz,,5,1,1,HESAP_ELE_GECIRME
3376.02,ODEME,"Eskişehir, TR",Okul Ödemesi,Android bilinen cihaz,TR,9,0,0,TEMIZ
584.9,FATURA,"Bursa, TR",Market Harcama,Paycell kayıtlı cihaz,TR,10,0,0,TEMIZ
2913.23,FATURA,"Eskişehir, TR",Sigorta Fatura,Web güvenilir tarayıcı,TR,19,0,0,TEMIZ
5467.85,TRANSFER,"İstanbul, TR",Restoran,Unknown Android,,0,1,0,HESAP_ELE_GECIRME
34425.87,FATURA,"London, UK",New Recipient Ltd,Yeni cihaz,,10,1,0,CALINTI_KART
54847.15,CEKIM,"Ankara, TR",Aile Transferi,Yeni cihaz,TR,0,0,0,CALINTI_KART
17173.02,CEKIM,"Paris, FR",Market Harcama,Yeni web oturumu,TR,18,0,0,SUPHELI_DAVRANIS
1418.73,FATURA,"İstanbul, TR",Telekom Fatura,Web güvenilir tarayıcı,TR,18,0,0,TEMIZ
2936.53,FATURA,"Ankara, TR",Market Harcama,Paycell kayıtlı cihaz,TR,21,0,0,TEMIZ
34346.71,CEKIM,"London, UK",Kira Ödemesi,Yeni cihaz,TR,19,1,1,CALINTI_KART
11351.26,ODEME,"İzmir, TR",Offshore Services,Unknown Android,TR,19,1,1,SUPHELI_DAVRANIS
91849.84,ODEME,"Ankara, TR",Aile Transferi,Bilinmeyen iPhone,TR,5,0,0,CALINTI_KART
2315.64,FATURA,"Bursa, TR",Sigorta Fatura,Android bilinen cihaz,TR,12,0,0,TEMIZ
36159.83,CEKIM,"Dubai, AE",Telekom Fatura,Android bilinen cihaz,TR,8,0,1,SUPHELI_DAVRANIS
3116.06,FATURA,"İstanbul, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,11,0,0,TEMIZ
38016.52,ODEME,"Amsterdam, NL",Yeni Alıcı,Yeni cihaz,TR,8,0,1,CALINTI_KART
1295.5,ODEME,"İzmir, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,1,0,0,TEMIZ
17372.21,TRANSFER,"Tbilisi, GE",New Recipient Ltd,Paycell kayıtlı cihaz,TR,15,0,0,SUPHELI_DAVRANIS
199804.25,TRANSFER,"İstanbul, TR",Kripto Exchange,Paycell kayıtlı cihaz,TR,18,0,0,PARA_AKLAMA
41.53,FATURA,"Bursa, TR",Market Harcama,iPhone 13 bilinen cihaz,TR,11,0,0,TEMIZ
41623.06,TRANSFER,"İstanbul, TR",New Recipient Ltd,Yeni cihaz,TR,23,1,0,HESAP_ELE_GECIRME
49405.35,ODEME,"Dubai, AE",E-Ticaret,Bilinmeyen iPhone,TR,3,1,1,CALINTI_KART
3834.33,ODEME,"Manisa, TR",Market Harcama,Web güvenilir tarayıcı,TR,11,0,0,TEMIZ
1750.96,TRANSFER,"Ankara, TR",Market Harcama,iPhone 13 bilinen cihaz,TR,3,0,0,TEMIZ
3474.55,ODEME,"İzmir, TR",Okul Ödemesi,Web güvenilir tarayıcı,TR,9,0,0,TEMIZ
17500.61,TRANSFER,"Tbilisi, GE",Ulaşım,Yeni cihaz,TR,10,1,1,HESAP_ELE_GECIRME
19873.97,CEKIM,"Ankara, TR",Elektrik Fatura,Yeni cihaz,TR,8,0,0,SUPHELI_DAVRANIS
160089.6,TRANSFER,"Ankara, TR",Yeni Alıcı,Android bilinen cihaz,TR,23,0,1,PARA_AKLAMA
78777.95,ODEME,"Manisa, TR",Kripto Exchange,Yeni web oturumu,,0,1,1,HESAP_ELE_GECIRME
445.68,ODEME,"Ankara, TR",Elektrik Fatura,Paycell kayıtlı cihaz,TR,17,0,0,TEMIZ
3269.58,ODEME,"Ankara, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,11,0,0,TEMIZ
109684.22,ODEME,"Berlin, DE",Aile Transferi,Unknown Android,,4,1,1,CALINTI_KART
121178.44,TRANSFER,"Tbilisi, GE",New Recipient Ltd,iPhone 13 bilinen cihaz,,13,0,1,PARA_AKLAMA
2560.63,ODEME,"Bursa, TR",Market Harcama,Android bilinen cihaz,TR,4,0,0,TEMIZ
14541.79,TRANSFER,"Ankara, TR",Market Harcama,Bilinmeyen iPhone,TR,11,0,1,SUPHELI_DAVRANIS
1225.04,FATURA,"Ankara, TR",Telekom Fatura,Paycell kayıtlı cihaz,TR,21,0,0,TEMIZ
94221.86,TRANSFER,"Dubai, AE",Aile Transferi,Yeni web oturumu,,5,1,1,HESAP_ELE_GECIRME
4269.47,ODEME,"Eskişehir, TR",Market Harcama,Android bilinen cihaz,TR,9,0,0,TEMIZ
5128.08,FATURA,"Eskişehir, TR",E-Ticaret,iPhone 13 bilinen cihaz,TR,17,0,0,TEMIZ
4137.36,ODEME,"Ankara, TR",Elektrik Fatura,Android bilinen cihaz,TR,10,0,0,TEMIZ
209232.46,TRANSFER,"İzmir, TR",Global Trade,Paycell kayıtlı cihaz,,13,1,1,PARA_AKLAMA
248456.04,TRANSFER,"Bursa, TR",Offshore Services,Web güvenilir tarayıcı,TR,10,0,1,PARA_AKLAMA
101266.38,TRANSFER,"Amsterdam, NL",New Recipient Ltd,iPhone 13 bilinen cihaz,TR,20,0,1,PARA_AKLAMA
4217.31,FATURA,"İzmir, TR",Elektrik Fatura,Android bilinen cihaz,TR,13,0,0,TEMIZ
12547.61,ODEME,"Tbilisi, GE",Elektrik Fatura,Unknown Android,TR,1,0,1,SUPHELI_DAVRANIS
36693.78,CEKIM,"Ankara, TR",Aile Transferi,Yeni web oturumu,TR,10,0,0,SUPHELI_DAVRANIS
50105.16,FATURA,"London, UK",New Recipient Ltd,Unknown Android,TR,23,1,1,CALINTI_KART
27023.75,TRANSFER,"Berlin, DE",Kira Ödemesi,Unknown Android,,9,1,0,HESAP_ELE_GECIRME
3180.61,ODEME,"Manisa, TR",Telekom Fatura,Paycell kayıtlı cihaz,TR,9,0,0,TEMIZ
33460.7,TRANSFER,"Dubai, AE",Restoran,Yeni web oturumu,,0,1,1,HESAP_ELE_GECIRME
223967.26,TRANSFER,"Paris, FR",Global Trade,Web güvenilir tarayıcı,,15,1,1,PARA_AKLAMA
18716.56,ODEME,"Bursa, TR",Kripto Exchange,Yeni web oturumu,,18,1,1,HESAP_ELE_GECIRME
1691.61,ODEME,"İzmir, TR",Telekom Fatura,Paycell kayıtlı cihaz,TR,15,0,0,TEMIZ
59819.02,CEKIM,"Eskişehir, TR",Aile Transferi,Yeni cihaz,TR,4,1,0,CALINTI_KART
33095.19,ODEME,"Eskişehir, TR",Kripto Exchange,Paycell kayıtlı cihaz,,2,1,0,CALINTI_KART
2276.88,FATURA,"Eskişehir, TR",Sigorta Fatura,Android bilinen cihaz,TR,20,0,0,TEMIZ
23512.55,ODEME,"Bursa, TR",Market Harcama,Paycell kayıtlı cihaz,TR,18,0,0,SUPHELI_DAVRANIS
176125.9,TRANSFER,"İzmir, TR",Offshore Services,Yeni cihaz,TR,16,1,1,PARA_AKLAMA
3935.03,FATURA,"Eskişehir, TR",Sigorta Fatura,Paycell kayıtlı cihaz,TR,10,0,0,TEMIZ
2660.13,FATURA,"Ankara, TR",Sigorta Fatura,iPhone 13 bilinen cihaz,TR,21,0,0,TEMIZ
1570.38,ODEME,"İzmir, TR",Okul Ödemesi,Paycell kayıtlı cihaz,TR,15,0,0,TEMIZ
7461.16,TRANSFER,"Amsterdam, NL",E-Ticaret,Yeni web oturumu,TR,13,0,1,SUPHELI_DAVRANIS
1234.23,ODEME,"Ankara, TR",Market Harcama,Web güvenilir tarayıcı,TR,21,0,0,TEMIZ
3143.46,FATURA,"İstanbul, TR",Telekom Fatura,Web güvenilir tarayıcı,TR,15,0,0,TEMIZ
36187.21,TRANSFER,"Eskişehir, TR",Telekom Fatura,Yeni web oturumu,TR,3,1,0,SUPHELI_DAVRANIS
3426.14,ODEME,"Ankara, TR",Sigorta Fatura,Android bilinen cihaz,TR,19,0,0,TEMIZ
49625.17,TRANSFER,"Eskişehir, TR",Ulaşım,Yeni cihaz,TR,11,1,1,HESAP_ELE_GECIRME
